Wavenumber [cm^-1];3 min;30 min;60 min;90 min;120 min;150 min;180 min;300 min;360 min;1800 min
567,6924;0,026857749;0,054510049;0,145697633;0,108413234;0,081447454;0,097953632;0,104444801;0,108558658;0,067078428;0,034418933
567,9335;0,027116232;0,054649844;0,146978682;0,109369553;0,081904129;0,098490265;0,10547108;0,10882974;0,067921103;0,034968855
568,1745;0,027367235;0,054686074;0,148083808;0,110069722;0,082284084;0,099460913;0,10660847;0,10899146;0,068681382;0,035401882
568,4156;0,027641599;0,054620056;0,149008351;0,11051739;0,082650585;0,100712752;0,107803563;0,109123492;0,069359362;0,035723692
568,6566;0,027810384;0,054607472;0,149961768;0,110653805;0,083032264;0,101838106;0,108974067;0,10928686;0,070008345;0,035910786
568,8977;0,028125928;0,054339141;0,150878599;0,110865618;0,083444085;0,10311385;0,109986771;0,109627838;0,070647628;0,036101912
569,1387;0,028337793;0,054067644;0,151962901;0,111085179;0,083910784;0,104313809;0,110886283;0,11021235;0,071338514;0,036288353
569,3798;0,028386018;0,053893999;0,153251213;0,111406037;0,084376823;0,105428655;0,111650794;0,11106647;0,072086399;0,036498316
569,6208;0,028254463;0,053929888;0,154705093;0,111903041;0,084768037;0,106454515;0,11227621;0,112156622;0,072858387;0,036740774
569,8619;0,027987168;0,054261129;0,156239481;0,112628241;0,08503109;0,107383463;0,112782423;0,113395379;0,073598973;0,037008563
570,103;0,027676163;0,054910863;0,157770155;0,113604362;0,085163498;0,108206309;0,113214835;0,114663955;0,074255608;0,037285521
570,3441;0,027427548;0,05582359;0,159250612;0,114813603;0,085221861;0,108932555;0,113638945;0,115840347;0,074804994;0,037555576
570,5851;0,027321654;0,056877251;0,160679533;0,116187789;0,085303794;0,109598412;0,114121156;0,116825767;0,075259582;0,037808437
570,8262;0,027386718;0,057920564;0,162073254;0,117604669;0,085511862;0,110263054;0,114708458;0,117566288;0,075662467;0,038041918
571,0672;0,027596103;0,05882111;0,163425936;0,118901993;0,0859193;0,110975106;0,11540526;0,118058437;0,076064654;0,038259814
571,3083;0,027894047;0,059506809;0,164679015;0,119911311;0,08654867;0,111738642;0,11616655;0,118343885;0,076505236;0,038470192
571,5493;0,028230011;0,059980941;0,165721252;0,120504872;0,087375307;0,112493787;0,116911938;0,118492357;0,07699732;0,038682123
571,7904;0,028585434;0,060311425;0,166426783;0,120641725;0,088349675;0,113129814;0,117555312;0,118577628;0,077528499;0,038905786
572,0314;0,028976877;0,060599942;0,166708669;0,120387021;0,089421708;0,113535651;0,118040481;0,118656521;0,07807328;0,039151253
572,2725;0,029437579;0,060945011;0,166572546;0,119902408;0,09055637;0,113659568;0,118368034;0,118756109;0,078610755;0,039429631
572,5135;0,030031001;0,061384014;0,166189475;0,119442637;0,091618496;0,113396593;0,118444581;0,118824619;0,079130231;0,039743354
572,7546;0,030647081;0,062010568;0,165645993;0,119128857;0,092779948;0,113165498;0,118627208;0,118923622;0,079653;0,040117236
572,9957;0,031242251;0,062802214;0,165201278;0,119125792;0,093910343;0,113051096;0,118900722;0,119000131;0,080193517;0,040552057
573,2368;0,03171931;0,063735453;0,165044129;0,119483142;0,094915281;0,113200987;0,11929812;0,119046144;0,08076238;0,041050644
573,4778;0,031986288;0,064774626;0,165282727;0,120163432;0,09570248;0,113690982;0,119821306;0,119086975;0,081352143;0,041612376
573,7189;0,032002225;0,065874549;0,165931507;0,121076111;0,096205;0,114492556;0,120434369;0,119168295;0,081936699;0,042232258
573,9599;0,031794581;0,066974406;0,16692923;0,12211463;0,096408678;0,115498034;0,121092919;0,11934123;0,082479654;0,042897784
574,201;0,031451996;0,067999014;0,168171032;0,123186736;0,096367777;0,116578389;0,121771343;0,119639253;0,082949501;0,04358792
574,442;0,031089729;0,068866755;0,169545575;0,124229181;0,096189832;0,117635047;0,122481052;0,120063689;0,083327147;0,04427257
574,6831;0,030813421;0,069509148;0,170969093;0,125206713;0,096004305;0,118627581;0,123263732;0,120581911;0,083611384;0,04491731
574,9241;0,030687933;0,069892173;0,17239455;0,126101582;0,095920332;0,119559117;0,124168995;0,121146344;0,08381052;0,045491414
