Wavenumber [cm^-1];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.]
;t0;t1;t2;t3;t4;t5
290,35039;0,006231997;0,003339752;0,005989443;0,005443096;0,005683613;0,005843265
291,31465;0,00627611;0,003720783;0,006879339;0,006070216;0,005809947;0,005950893
292,27891;0,006330219;0,003991811;0,007369233;0,006887333;0,005856279;0,006208518
293,24317;0,006384324;0,004302834;0,007199122;0,007404448;0,005642609;0,006556141
294,20743;0,006298425;0,004473854;0,006739007;0,007391559;0,005358936;0,00651376
295,17169;0,006122522;0,004544869;0,006518888;0,007078668;0,005495261;0,006231377
296,13595;0,005966614;0,004725879;0,006618765;0,006715773;0,006061584;0,006208991
297,10021;0,005880702;0,004756886;0,006738638;0,006462876;0,006597903;0,006396602
298,06447;0,005944786;0,004477888;0,006738506;0,006399975;0,00676422;0,00651421
299,02873;0,006238865;0,004348885;0,00679837;0,006557071;0,006580535;0,006641815
299,99299;0,007002939;0,004679878;0,00706823;0,006954163;0,006356846;0,006919416
300,95725;0,008087008;0,005020865;0,007348085;0,007461252;0,006523155;0,007297015
301,92152;0,008621072;0,004961849;0,007267936;0,007798338;0,007189461;0,00764461
302,88578;0,008305132;0,004862827;0,006847782;0,007875421;0,007975764;0,007902202
303,85004;0,007989186;0,0052538;0,006487622;0,0079425;0,008382064;0,00804979
304,8143;0,008153235;0,005964768;0,006337459;0,008169575;0,00839836;0,008117375
305,77856;0,008277279;0,006475731;0,00631729;0,008466646;0,008384654;0,008164956
306,74282;0,008041317;0,006556688;0,006707116;0,008593714;0,008410945;0,008252534
307,70708;0,00774535;0,00633764;0,007766937;0,008510778;0,008347232;0,008280108
308,67134;0,007599377;0,006008587;0,009016753;0,008527838;0,008133516;0,008207678
309,6356;0,007413399;0,005809529;0,009776563;0,008684894;0,007829797;0,008315245
310,59986;0,007247415;0,005970464;0,009836368;0,008631946;0,007556074;0,008592808
311,56412;0,007391426;0,006461394;0,009416168;0,008318995;0,007422348;0,008580367
312,52838;0,00787543;0,006872318;0,008845962;0,008176039;0,007368618;0,008227921
313,49264;0,008319428;0,006733237;0,008325751;0,008323079;0,007304885;0,008095472
314,45691;0,008223421;0,006174149;0,008035534;0,008430115;0,007351148;0,008473019
315,42117;0,007757407;0,005755056;0,008035311;0,008297146;0,007557407;0,008880562
316,38543;0,007521387;0,005675956;0,008085082;0,008134173;0,007873663;0,0087481
317,34969;0,00770536;0,00581685;0,008034848;0,008121196;0,008109915;0,007935635
318,31395;0,007949327;0,006197738;0,007924607;0,008148214;0,008156163;0,007063165
319,27821;0,008143288;0,006648619;0,00775436;0,008015228;0,008192407;0,00692069
320,24247;0,008437241;0,006779494;0,007604107;0,007672237;0,008258647;0,007568211
321,20673;0,008641188;0,006630362;0,007563848;0,007329242;0,008174883;0,008365728
322,17099;0,008465129;0,006661224;0,007473583;0,007326241;0,007931115;0,00885324
323,13525;0,008179062;0,006962079;0,007263311;0,007623237;0,007687343;0,008980747
324,09951;0,008122988;0,007172927;0,007173032;0,007800227;0,007563567;0,008788249
325,06377;0,008306908;0,006923769;0,007322747;0,007777212;0,007599787;0,008405747
326,02803;0,00871082;0,006134603;0,007642455;0,007704193;0,007796002;0,00814324
326,99229;0,009174725;0,00525543;0,008052157;0,007591168;0,008112213;0,008240729
327,95656;0,009118622;0,004906251;0,008381852;0,007558139;0,008398419;0,008478212
328,92082;0,008262512;0,005087064;0,00833154;0,007825104;0,008364621;0,00848569
329,88508;0,007196395;0,005377869;0,007891221;0,008292064;0,008000819;0,008223163
330,84934;0,00676027;0,005538668;0,007520894;0,008489019;0,007647011;0,007860631
331,8136;0,006924137;0,005489458;0,007540561;0,008285968;0,0074832;0,007548094
332,77786;0,007097996;0,005400242;0,00780022;0,008112912;0,007389383;0,007535552
333,74212;0,007131847;0,005431017;0,008009872;0,008249851;0,007235562;0,008003004
334,70638;0,007295691;0,005601785;0,008009517;0,008346784;0,007101736;0,008680451
335,67064;0,007709526;0,005862545;0,007869154;0,008193712;0,007157905;0,009167893
336,6349;0,008103353;0,006073297;0,007748784;0,008110634;0,007434069;0,009295329
337,59916;0,008347172;0,005964041;0,007658406;0,00824755;0,007900228;0,009032759
338,56342;0,008550982;0,005494777;0,00753802;0,008234461;0,008276382;0,008580184
339,52768;0,008644784;0,004905505;0,007377626;0,007851366;0,008072531;0,008197603
340,49195;0,008378578;0,004496225;0,007187225;0,007388265;0,007388675;0,007805017
341,45621;0,008002363;0,004396936;0,007056816;0,007155158;0,006824814;0,007282424
342,42047;0,007966139;0,004607639;0,007166398;0,007162046;0,006670947;0,006799826
343,38473;0,008339906;0,004918333;0,007555972;0,007428927;0,006947075;0,006707222
344,34899;0,008833665;0,005069019;0,008145539;0,007755802;0,007593198;0,007024612
345,31325;0,009147414;0,004939696;0,008705096;0,007732671;0,007999315;0,007441996
346,27751;0,009141154;0,004630365;0,008964646;0,007379533;0,007625427;0,007609373
347,24177;0,008864885;0,004401024;0,008964187;0,00720639;0,006811533;0,007596745
348,20603;0,008538607;0,004471675;0,008803719;0,00756324;0,006317633;0,00766411
349,17029;0,00844232;0,004792316;0,008343243;0,008130084;0,006433728;0,007851469
350,13455;0,008666023;0,005092949;0,007672758;0,008516921;0,006909817;0,008088822
351,09881;0,008999716;0,005273572;0,007272265;0,008733752;0,007295901;0,008316168
352,06307;0,0090634;0,005524186;0,007321762;0,008740576;0,007361978;0,008493508
353,02734;0,008687074;0,005654791;0,007521251;0,008357394;0,00729805;0,008580841
353,9916;0,008040738;0,005455386;0,007670731;0,007774204;0,007274116;0,008398168
354,95586;0,007454393;0,005285972;0,007760201;0,007211009;0,007250176;0,007945488
355,92012;0,007298037;0,005456548;0,007859662;0,006697806;0,00730623;0,007652801
356,88438;0,007701671;0,005797114;0,008069114;0,006434596;0,007442277;0,007950108
357,84864;0,008255295;0,006157671;0,008318557;0,00675138;0,007608318;0,008597407
358,8129;0,008468909;0,006388217;0,00833799;0,007498156;0,007944354;0,0090147
359,77716;0,008422513;0,006368754;0,008217414;0,008124926;0,008420383;0,009081986
360,74142;0,008536105;0,006099281;0,008376828;0,008181688;0,008596405;0,008869265
361,70568;0,008969688;0,005639797;0,008636232;0,007778443;0,008422421;0,008466536
362,66994;0,00937326;0,005350304;0,008505626;0,007515191;0,008148431;0,008123801
363,6342;0,009146821;0,0054408;0,007985011;0,007781931;0,007884434;0,007891058
364,59846;0,008350371;0,005641285;0,007524386;0,008478665;0,007740431;0,007488308
365,56272;0,00786391;0,005791761;0,007443751;0,00932539;0,007736421;0,006885551
366,52699;0,008157439;0,005852226;0,007753106;0,009802109;0,007712404;0,006352786
367,49125;0,008690956;0,00566268;0,00825245;0,00950882;0,007578381;0,006140014
368,45551;0,009024462;0,005403123;0,008721785;0,008645523;0,007454351;0,006437235
369,41977;0,009277957;0,005353555;0,008971108;0,007982218;0,007450314;0,007184447
370,38403;0,00954144;0,005433977;0,008860422;0,007958906;0,00757627;0,008121652
371,34829;0,009554912;0,005364388;0,008359725;0,008305586;0,007702219;0,00896885
372,31255;0,009078372;0,005144787;0,007849017;0,008502258;0,007718161;0,00956604
373,27681;0,008411821;0,005065176;0,007848299;0,008508923;0,007654096;0,009743221
374,24107;0,008165258;0,005435553;0,00808757;0,008505579;0,007470023;0,009480395
375,20533;0,008208683;0,006175919;0,007966831;0,008372227;0,007155944;0,009047561
376,16959;0,008032097;0,006826273;0,00761608;0,007998867;0,007031858;0,008644719
377,13385;0,007775498;0,007116616;0,007615318;0,007565499;0,007297764;0,008291869
378,09811;0,007878887;0,007196948;0,007884545;0,007292123;0,007553662;0,008089011
379,06238;0,008252264;0,007237268;0,008003762;0,007348739;0,007489554;0,008076145
380,02664;0,008685629;0,007237576;0,007982967;0,007645346;0,007215438;0,00819327
380,9909;0,009158981;0,007107872;0,00798216;0,007861945;0,006951314;0,008280387
381,95516;0,009542321;0,006748156;0,008051342;0,007978536;0,007187183;0,008087496
382,91942;0,009645648;0,006278428;0,008250513;0,008145117;0,008163044;0,007654596
383,88368;0,009628963;0,006028688;0,008519672;0,008121691;0,009048897;0,007511688
384,84794;0,009682265;0,006248936;0,00864882;0,007598256;0,008884743;0,007858771
385,8122;0,009625554;0,006649172;0,008557955;0,007004812;0,007940581;0,008235846
386,77646;0,00923883;0,006719396;0,008457079;0,006991359;0,007216411;0,008242912
387,74072;0,008862093;0,006359607;0,008536191;0,007487897;0,007022233;0,007929969
388,70498;0,008945344;0,006019805;0,008865291;0,008184427;0,007138047;0,007557017
389,66924;0,00930858;0,006149991;0,009354379;0,008950948;0,007513853;0,007574056
390,6335;0,009561804;0,006640164;0,009733455;0,009497459;0,008039651;0,008181087
391,59777;0,009755015;0,006980325;0,009722519;0,009583962;0,00837544;0,008968109
392,56203;0,010138211;0,006960472;0,009371571;0,009440455;0,008401222;0,009185121
393,52629;0,010571395;0,006730607;0,00912061;0,00946694;0,008366995;0,008632125
394,49055;0,010624564;0,006640729;0,009219636;0,009703415;0,00838276;0,008029119
395,45481;0,01030772;0,006950837;0,00950865;0,009939881;0,008468517;0,008076104
396,41907;0,010140862;0,007630932;0,009737652;0,009906337;0,008574265;0,008603079
397,38333;0,01041399;0,008141014;0,009826641;0,009732784;0,008670005;0,009150046
398,34759;0,010817104;0,008111083;0,009705617;0,009619222;0,008965736;0,009677003
399,31185;0,011010204;0,007641138;0,00948458;0,00954565;0,009591458;0,01035395
400,27611;0,01108329;0,00718118;0,00935353;0,009582068;0,010257172;0,010880888
401,24037;0,011146362;0,007171208;0,009372467;0,009988477;0,010542877;0,010817816
402,20463;0,011089419;0,007581222;0,009541391;0,010494876;0,010398574;0,010354735
403,16889;0,011042462;0,007941223;0,010000302;0,010341265;0,010164261;0,010141644
404,13315;0,01137549;0,00809121;0,010689199;0,009407645;0,01014994;0,010328543
